pbhmass exclusion
1e-12 1.0
3.1622776601683794e-12 1.0
1e-11 1.0
3.1622776601683794e-11 1.0
1e-10 1.0
3.1622776601683795e-10 1.0
1e-09 1.0
3.1622776601683795e-09 1.0
1e-08 1.0
3.162277660168379e-08 0.7298027100007298
1e-07 0.2483854942871336
3.162277660168379e-07 0.08060355945318547
1e-06 0.02705069028853168
3.162277660168379e-06 0.007240972317762829
1e-05 0.0021599391761128006
3.1622776601683795e-05 0.0004658036970000984
0.0001 0.0001128563993806802
0.00031622776601683794 4.3058132190067594e-05
0.001 3.451080555236206e-05
0.0031622776601683794 3.630153895110661e-05
0.01 1.759455363266673e-05
0.03162277660168379 6.943650052302627e-06
0.1 5.561512546229037e-06
0.31622776601683794 1.233854114090772e-05
1.0 2.8190941130870467e-05
3.1622776601683795 3.015833854552359e-05
10.0 5.377589865428557e-05
31.622776601683793 8.905551902135346e-05
100.0 0.00016290663668605326
316.22776601683796 0.000300238314161866
1000.0 0.0005999474685996494
3162.2776601683795 0.001365956751623713
10000.0 0.003843487057441683
31622.776601683792 0.01955090273034874
100000.0 0.18859858676792315
316227.7660168379 1.0
1000000.0 1.0
